06.15 6:34 AM
Student_ID,Name,Age,Gender,Department,Study_Hours_Per_Day,Attendance_Percentage,Assignments_Completed,Midterm_Score,Final_Score,Projects_Score,Extra_Curricular,Internet_Access,Family_Income,Parent_Education,Sleep_Hours,Stress_Level,Final_Grade
S046,Samuel Rogers,22,Male,Mathematics,2,63,9,41,45,43,No,No,Low,High School,4,High,F
S047,Tina Reed,21,Female,Physics,6,89,18,80,84,83,Yes,Yes,High,Graduate,7,Low,A
S048,Umar Cook,20,Male,Chemistry,4,83,15,68,72,70,No,Yes,Medium,Undergraduate,6,Medium,B
S049,Vera Morgan,19,Female,Computer Science,7,97,20,91,94,93,Yes,Yes,High,Graduate,8,Low,A
S050,Walter Bell,22,Male,Mathematics,3,74,11,55,59,57,No,No,Low,High School,5,High,C
S051,Xena Murphy,20,Female,Physics,5,86,17,77,81,79,Yes,Yes,Medium,Graduate,7,Low,B
S052,Yusuf Bailey,21,Male,Chemistry,2,65,10,45,49,47,No,No,Low,High School,4,High,D
S053,Zara Rivera,19,Female,Computer Science,6,91,19,82,86,85,Yes,Yes,High,Graduate,7,Low,A
S054,Aaron Cooper,23,Male,Mathematics,4,85,15,68,72,70,No,Yes,Medium,Undergraduate,6,Medium,B
S055,Beth Richardson,20,Female,Physics,7,95,20,88,92,91,Yes,Yes,High,Graduate,8,Low,A
S056,Carlos Cox,22,Male,Chemistry,3,70,11,50,54,52,No,No,Low,High School,5,High,C
S057,Diana Howard,21,Female,Computer Science,5,87,17,76,80,78,Yes,Yes,Medium,Graduate,7,Low,B
S058,Ethan Ward,20,Male,Mathematics,4,81,14,64,68,66,No,Yes,Medium,Undergraduate,6,Medium,B
S059,Fiona Torres,19,Female,Physics,6,90,18,83,87,86,Yes,Yes,High,Graduate,7,Low,A
S060,George Peterson,22,Male,Chemistry,2,64,9,43,47,45,No,No,Low,High School,4,High,F
